ChargerId,PlugId,MaxPower
MAC-90001,PT*GLP*EMAC*90001*01,22000
MAC-90001,PT*GLP*EMAC*90001*02,22000
MAD-00001,PT*GLG*EMAD*00001*02,50000
MAD-00001,PT*GLG*EMAD*00001*03,43000
MAI-00005,PT*HRZ*E*MAI*00005*02,50000
MAI-00005,PT*HRZ*E*MAI*00005*03,43000
MAI-00007,PT*EDP*E*MAI*00007*01,22000
MAI-00007,PT*EDP*E*MAI*00007*02,22000
MAI-00007,PT*EDP*EMAI*00007*1,22000
MAI-00007,PT*EDP*EMAI*00007*2,22000
MAI-00008,PT*EDP*E*MAI*00008*01,22000
MAI-00008,PT*EDP*E*MAI*00008*02,22000
MAI-00008,PT*EDP*EMAI*00008*1,22000
MAI-00008,PT*EDP*EMAI*00008*2,22000
MAI-00009,PT*EDP*E*MAI*00009*01,22000
MAI-00009,PT*EDP*E*MAI*00009*02,22000
MAI-00009,PT*EDP*EMAI*00009*1,22000
MAI-00009,PT*EDP*EMAI*00009*2,22000
MAI-00010,PT*EDP*E*MAI*00010*01,22000
MAI-00010,PT*EDP*E*MAI*00010*02,22000
MAI-00010,PT*EDP*EMAI*00010*1,22000
MAI-00010,PT*EDP*EMAI*00010*2,22000
MAI-00012,PT*HLX*E*MAI*00012*02,50000
MAI-00012,PT*HLX*E*MAI*00012*03,43000
MAI-00013,PT*HLX*E*MAI*00013*02,50000
MAI-00013,PT*HLX*E*MAI*00013*03,43000
MAI-00014,PT*HLX*E*MAI*00014*01,22000
MAI-00014,PT*HLX*E*MAI*00014*02,22000
MAI-00016,PT*IBD*E*MAI*00016*1,22000
MAI-00016,PT*IBD*E*MAI*00016*2,22000
MAI-00017,PT*HRZ*E*MAI*00017*02,50000
MAI-00017,PT*HRZ*E*MAI*00017*03,43000
MAI-00021,PT*EDP*E*MAI*00021*02,50000
MAI-00021,PT*EDP*E*MAI*00021*03,43000
MAI-00021,PT*EDP*EMAI*00021*2,50000
MAI-00021,PT*EDP*EMAI*00021*3,43000
MAI-00023,PT*HRZ*E*MAI*00023*1,11000
MAI-00025,PT*HRZ*E*MAI*00025*01,187500
MAI-00025,PT*HRZ*E*MAI*00025*02,187500
MAI-00025,PT*HRZ*E*MAI*00025*03,100000
MAI-00025,PT*HRZ*E*MAI*00025*04,100000
MAI-00025,PT*HRZ*E*MAI*00025*06,100000
MAI-00025,PT*HRZ*E*MAI*00025*08,100000
MAI-00028,PT*EDP*E*MAI*00028*01,90000
MAI-00028,PT*EDP*E*MAI*00028*03,22000
MAI-00028,PT*EDP*EMAI*00028*1,120000
MAI-00028,PT*EDP*EMAI*00028*2,120000
MAI-00028,PT*EDP*EMAI*00028*3,22000
MAI-00029,PT*CAP*E*MAI*00029*01,22000
MAI-00029,PT*CAP*E*MAI*00029*02,22000
MAI-00029,PT*CAP*E*MAI*00029*03,22000
MAI-00029,PT*CAP*E*MAI*00029*04,22000
MAI-00029,PT*CAP*E*MAI*00029*05,22000
MAI-00029,PT*CAP*E*MAI*00029*06,22000
MAI-00034,PT*GLG*EMAI*00034*01,90000
