ChargerId,PlugId,MaxPower
ABF-00008,PT*EDP*E*ABF*00008*1,7400
ABF-00009,PT*EDP*E*ABF*00009*1,7400
ABF-00011,PT*BLU*E*ABF*00011*01,22000
ABF-00011,PT*BLU*E*ABF*00011*02,22000
ABF-00012,PT*GLP*EABF*00012*01,22000
ABF-00012,PT*GLP*EABF*00012*02,22000
ABF-00013,PT*GLP*EABF*00013*01,22000
ABF-00013,PT*GLP*EABF*00013*02,22000
ABF-00024,PT*GLG*EABF*00024*02,50000
ABF-00024,PT*GLG*EABF*00024*03,43000
ABF-00035,PT*REP*E*ABF*00035*02,43000
ABF-00036,PT*GLP*EABF*00036*01,11000
ABF-00036,PT*GLP*EABF*00036*02,11000
ABF-00037,PT*GLP*EABF*00037*01,11000
ABF-00037,PT*GLP*EABF*00037*02,11000
ABF-00038,PT*GLP*EABF*00038*01,11000
ABF-00038,PT*GLP*EABF*00038*02,11000
ABF-00039,PT*GLP*EABF*00039*01,11000
ABF-00039,PT*GLP*EABF*00039*02,11000
ABF-00040,PT*GLP*EABF*00040*01,11000
ABF-00040,PT*GLP*EABF*00040*02,11000
ABF-00042,PT*MLT*EABF*00042*01,22000
ABF-00042,PT*MLT*EABF*00042*02,22000
ABF-00043,PT*GLP*EABF*00043*01,22000
ABF-00043,PT*GLP*EABF*00043*02,22000
ABF-00044,PT*GLP*EABF*00044*01,22000
ABF-00044,PT*GLP*EABF*00044*02,22000
ABF-00045,PT*GLP*EABF*00045*01,22000
ABF-00045,PT*GLP*EABF*00045*02,22000
ABF-00046,PT*GLP*EABF*00046*01,22000
ABF-00046,PT*GLP*EABF*00046*02,22000
ABF-00050,PT*IHM*E*ABF*00050*01,120000
ABF-00051,PT*IHM*E*ABF*00051*01,90000
ABF-00053,PT*CAP*E*ABF*00053*01,22000
ABF-00053,PT*CAP*E*ABF*00053*02,22000
ABF-00053,PT*CAP*E*ABF*00053*03,22000
ABF-00053,PT*CAP*E*ABF*00053*04,22000
ABF-00053,PT*CAP*E*ABF*00053*05,22000
ABF-00053,PT*CAP*E*ABF*00053*06,22000
ABF-00055,PT*HRZ*E*ABF*00055*02,100000
ABF-00055,PT*HRZ*E*ABF*00055*03,22000
ABF-00055,PT*HRZ*E*ABF*00055*04,140000
ABF-00055,PT*HRZ*E*ABF*00055*05,140000
ABF-00059,PT*HRZ*E*ABF*00059*01,22000
ABF-00059,PT*HRZ*E*ABF*00059*02,22000
ABF-00060,PT*HRZ*E*ABF*00060*01,22000
ABF-00060,PT*HRZ*E*ABF*00060*02,22000
ABF-00061,PT*GLP*EABF*00061*02,60000
ABF-00062,PT*IBD*E*ABF*00062*01,22000
ABF-00062,PT*IBD*E*ABF*00062*02,22000
ABF-00063,PT*IBD*E*ABF*00063*01,22000
ABF-00063,PT*IBD*E*ABF*00063*02,22000
ABF-00064,PT*IBD*E*ABF*00064*01,22000
ABF-00064,PT*IBD*E*ABF*00064*02,22000
ABF-00065,PT*EDP*E*ABF*00065*01,7400
ABF-00065,PT*EDP*E*ABF*00065*02,7400
ABF-00066,PT*EDP*E*ABF*00066*01,7400
ABF-00066,PT*EDP*E*ABF*00066*02,7400
ABF-00067,PT*EDP*E*ABF*00067*01,7400
ABF-00067,PT*EDP*E*ABF*00067*02,7400
ABF-00068,PT*EDP*E*ABF*00068*01,7400
