ChargerId,PlugId,MaxPower
ABF-00094,PT*EDP*E*ABF*00094*02,22000
ABF-00095,PT*IBD*E*ABF*00095*01,22000
ABF-00095,PT*IBD*E*ABF*00095*02,22000
ABF-00096,PT*LOG*E*ABF*00096*01,22000
ABF-00097,PT*LOG*E*ABF*00097*01,22000
ABF-00098,PT*EDP*E*ABF*00098*01,11000
ABF-00098,PT*EDP*E*ABF*00098*02,11000
ABF-00098,PT*EDP*EABF*00098*1,11000
ABF-00098,PT*EDP*EABF*00098*2,11000
ABF-00109,PT*ATL*EABF*00109*1,60000
ABF-00110,PT*HGP*E*ABF*00110*01,22000
ABF-00111,PT*HGP*E*ABF*00111*01,22000
ABF-00112,PT*GLP*EABF*00112*02,50000
ABF-00112,PT*GLP*EABF*00112*03,43000
ABF-00114,PT*EDP*EABF*00114*1,120000
ABF-00114,PT*EDP*EABF*00114*2,120000
ABF-00115,PT*EDP*EABF*00115*1,60000
ABF-00115,PT*EDP*EABF*00115*2,60000
ABF-00115,PT*EDP*EABF*00115*3,22000
ABF-00116,PT*GLP*EABF*00116*01,22000
ABF-00116,PT*GLP*EABF*00116*02,22000
ABF-00117,PT*GLP*EABF*00117*01,22000
ABF-00117,PT*GLP*EABF*00117*02,22000
ABF-00118,PT*GLP*EABF*00118*01,22000
ABF-00118,PT*GLP*EABF*00118*02,22000
ABF-00120,PT*CPS*E*ABF*00120*01,300000
ABF-00120,PT*CPS*E*ABF*00120*02,300000
ABF-00122,PT*EDP*EABF*00122*1,22000
ABF-00122,PT*EDP*EABF*00122*2,22000
ABF-00123,PT*EDP*EABF*00123*1,22000
ABF-00123,PT*EDP*EABF*00123*2,22000
ABF-00126,PT*EDP*EABF*00126*1,22000
ABF-00126,PT*EDP*EABF*00126*2,22000
ABF-00133,PT*EDP*EABF*00133*1,22000
ABF-00133,PT*EDP*EABF*00133*2,22000
ABF-00134,PT*EDP*EABF*00134*1,22000
ABF-00134,PT*EDP*EABF*00134*2,22000
ABF-00137,PT*EDP*EABF*00137*1,22000
ABF-00137,PT*EDP*EABF*00137*2,22000
ABF-00138,PT*EDP*EABF*00138*1,22000
ABF-00138,PT*EDP*EABF*00138*2,22000
ABF-00139,PT*EDP*EABF*00139*1,22000
ABF-00139,PT*EDP*EABF*00139*2,22000
ABF-00142,PT*EDP*EABF*00142*1,22000
ABF-00142,PT*EDP*EABF*00142*2,22000
ABF-00147,PT*EDP*EABF*00147*1,22000
ABF-00147,PT*EDP*EABF*00147*2,22000
ABF-00148,PT*EDP*EABF*00148*1,22000
ABF-00148,PT*EDP*EABF*00148*2,22000
ABF-00150,PT*EDP*EABF*00150*1,22000
ABF-00150,PT*EDP*EABF*00150*2,22000
ABF-00151,PT*EDP*EABF*00151*1,22000
ABF-00151,PT*EDP*EABF*00151*2,22000
ABF-00153,PT*EDP*EABF*00153*1,22000
ABF-00153,PT*EDP*EABF*00153*2,22000
ABF-00156,PT*EDP*EABF*00156*1,22000
ABF-00156,PT*EDP*EABF*00156*2,22000
ABF-00161,PT*EDP*EABF*00161*1,22000
ABF-00161,PT*EDP*EABF*00161*2,22000
ABF-00165,PT*GLP*EABF*00165*01,22000
ABF-00165,PT*GLP*EABF*00165*02,22000
ABF-00166,PT*GLP*EABF*00166*01,22000
ABF-00166,PT*GLP*EABF*00166*02,22000
ABF-00167,PT*EDP*EABF*00167*1,22000
ABF-00167,PT*EDP*EABF*00167*2,22000
ABF-90001,PT*EDP*E*ABF*90001*01,22000
ABF-90001,PT*EDP*E*ABF*90001*02,22000
ABF-90007,PT*HRZ*E*ABF*90007*01,22000
ABF-90007,PT*HRZ*E*ABF*90007*02,22000
ABT-00006,PT*EDP*E*ABT*00006*01,90000
ABT-00006,PT*EDP*E*ABT*00006*03,22000
ABT-00006,PT*EDP*EABT*00006*1,90000
ABT-00006,PT*EDP*EABT*00006*3,22000
ABT-00012,PT*GLP*EABT*00012*01,120000
ABT-00012,PT*GLP*EABT*00012*02,120000
ABT-00013,PT*GLP*EABT*00013*01,120000
ABT-00013,PT*GLP*EABT*00013*02,120000
ABT-00017,PT*CPS*E*ABT*00017*01,100000
ABT-00017,PT*CPS*E*ABT*00017*02,100000
ABT-00018,PT*CPS*E*ABT*00018*01,100000
ABT-00018,PT*CPS*E*ABT*00018*02,100000
ABT-00019,PT*SLV*E*ABT*00019*01,20000
ABT-00019,PT*SLV*E*ABT*00019*02,20000
ABT-00023,PT*HRZ*E*ABT*00023*02,100000
ABT-00023,PT*HRZ*E*ABT*00023*03,100000
ABT-00023,PT*HRZ*E*ABT*00023*04,100000
ABT-00024,PT*EDP*E*ABT*00024*01,7400
ABT-00024,PT*EDP*E*ABT*00024*02,7400
ABT-00024,PT*EDP*EABT*00024*1,7400
ABT-00024,PT*EDP*EABT*00024*2,7400
ABT-00026,PT*EDP*E*ABT*00026*01,22000
ABT-00026,PT*EDP*E*ABT*00026*02,22000
ABT-00026,PT*EDP*EABT*00026*1,22000
ABT-00026,PT*EDP*EABT*00026*2,22000
ABT-00027,PT*EDP*E*ABT*00027*01,22000
ABT-00027,PT*EDP*E*ABT*00027*02,22000
ABT-00027,PT*EDP*EABT*00027*1,22000
ABT-00027,PT*EDP*EABT*00027*2,22000
ABT-00028,PT*KLS*EABT*00028*01,22000
ABT-00028,PT*KLS*EABT*00028*02,50000
ABT-00030,PT*ATL*EABT*00030*2,60000
ABT-00032,PT*GLP*EABT*00032*01,22000
ABT-00032,PT*GLP*EABT*00032*02,22000
ABT-00033,PT*EDP*E*ABT*00033*01,120000
ABT-00033,PT*EDP*EABT*00033*1,120000
ABT-00034,PT*ATL*EABT*00034*1,60000
ABT-00034,PT*ATL*EABT*00034*2,60000
ABT-00035,PT*EDP*E*ABT*00035*01,22000
ABT-00035,PT*EDP*E*ABT*00035*02,22000
ABT-00035,PT*EDP*EABT*00035*1,22000
ABT-00035,PT*EDP*EABT*00035*2,22000
ABT-00036,PT*REP*E*ABT*00036*01,43000
ABT-00036,PT*REP*E*ABT*00036*02,50000
ABT-00037,PT*REP*E*ABT*00037*01,43000
ABT-00037,PT*REP*E*ABT*00037*02,50000
ABT-00038,PT*GLP*EABT*00038*01,22000
ABT-00038,PT*GLP*EABT*00038*02,50000
ABT-80001,PT*ATL*E*ABT*80001*01,22000
ABT-80001,PT*ATL*E*ABT*80001*02,22000
ACB-00002,PT*EDP*E*ACB*00002*01,22000
ACB-00002,PT*EDP*E*ACB*00002*02,22000
ACB-00002,PT*EDP*EACB*00002*1,22000
ACB-00002,PT*EDP*EACB*00002*2,22000
ACB-00008,PT*EDP*E*ACB*00008*01,7400
ACB-00008,PT*EDP*E*ACB*00008*02,7400
ACB-00008,PT*EDP*EACB*00008*1,7400
ACB-00008,PT*EDP*EACB*00008*2,7400
ACB-00009,PT*GLG*EACB*00009*01,180000
ACB-00009,PT*GLG*EACB*00009*02,180000
ACB-00010,PT*HRZ*E*ACB*00010*02,100000
ACB-00010,PT*HRZ*E*ACB*00010*03,22000
ACB-00010,PT*HRZ*E*ACB*00010*04,180000
ACB-00010,PT*HRZ*E*ACB*00010*05,180000
ACB-00011,PT*GLP*EACB*00011*01,11000
ACB-00012,PT*GLP*EACB*00012*01,11000
ACB-00013,PT*GLP*EACB*00013*01,11000
ACB-00014,PT*GLP*EACB*00014*01,11000
ACB-00015,PT*ATL*EACB*00015*1,60000
ACB-00016,PT*KLS*E*ACB*00016*01,22000
ACB-00016,PT*KLS*E*ACB*00016*02,50000
ACB-00017,PT*ITV*E*ACB*00017*01,75000
ACB-00019,PT*ATL*EACB*00019*1,22000
ACB-00019,PT*ATL*EACB*00019*2,22000
ACB-00020,PT*EDP*E*ACB*00020*01,120000
ACB-00020,PT*EDP*EACB*00020*1,120000
ACB-00021,PT*HRZ*E*ACB*00021*01,200000
ACB-00021,PT*HRZ*E*ACB*00021*03,200000
ACB-00021,PT*HRZ*E*ACB*00021*04,200000
ACB-00022,PT*HRZ*E*ACB*00022*01,11000
ACB-00023,PT*KLS*E*ACB*00023*01,22000
ACB-00023,PT*KLS*E*ACB*00023*02,49000
ACB-00024,PT*GLP*EACB*00024*01,120000
ACB-00024,PT*GLP*EACB*00024*02,120000
ACB-00025,PT*EDP*E*ACB*00025*01,22000
ACB-00025,PT*EDP*E*ACB*00025*02,22000
ACB-00025,PT*EDP*EACB*00025*1,22000
ACB-00025,PT*EDP*EACB*00025*2,22000
ACB-00026,PT*EDP*E*ACB*00026*01,22000
ACB-00026,PT*EDP*E*ACB*00026*02,22000
ACB-00027,PT*FCT*E*ACB*00027*01,50000
ACB-00027,PT*FCT*E*ACB*00027*02,50000
ACB-00028,PT*GLP*EACB*00028*01,120000
ACB-00028,PT*GLP*EACB*00028*02,120000
ACB-00029,PT*GLP*EACB*00029*01,22000
ACB-00029,PT*GLP*EACB*00029*02,22000
ACB-00030,PT*GLP*EACB*00030*01,120000
ACB-00030,PT*GLP*EACB*00030*02,120000
ACB-00031,PT*GLP*EACB*00031*01,22000
ACB-00031,PT*GLP*EACB*00031*02,22000
ACB-00032,PT*PRI*E*ACB*00032*01,180000
ACB-00032,PT*PRI*E*ACB*00032*02,180000
ACB-00033,PT*FCT*E*ACB*00033*01,150000
