Rank,OperatorAbb,OperatorName,Qty,MarketShare,CumulativeMarketShare
74,PAR,Parinox Energia,2,0.0002588326646822829,0.9970234243561538
75,PRP,"PROPEL - PRODUTOS DE PETRÓLEO, LDA",2,0.0002588326646822829,0.9972822570208361
76,PTE,"PETROTERMICA ENERGIA, S.A.",2,0.0002588326646822829,0.9975410896855184
77,SDB,SodiBraga - Supermercados Lda,2,0.0002588326646822829,0.9977999223502005
78,SFF,"Superfafe- supermercados,lda",2,0.0002588326646822829,0.9980587550148828
79,SGM,"Superguimarães - Supermercados,lda",2,0.0002588326646822829,0.9983175876795651
80,SLV,Silver Ridge - Asset Management,2,0.0002588326646822829,0.9985764203442474
81,WEN,WENEA SERVICES SPAIN S.L.,2,0.0002588326646822829,0.9988352530089297
82,ENE,"Enercom, Vasconcelos e Almeida engenharia, lda",1,0.00012941633234114146,0.9989646693412708
83,FRI,"Distrifrio Supermercados, Lda",1,0.00012941633234114146,0.999094085673612
84,IVP,Intervilapraia,1,0.00012941633234114146,0.9992235020059531
85,JHO,JH Ornelas,1,0.00012941633234114146,0.9993529183382943
86,KPM,"KPM Serviços de Engenheria, Unip Lda",1,0.00012941633234114146,0.9994823346706354
87,MEO,"MEO Energia - Comercialização de Energia, SA",1,0.00012941633234114146,0.9996117510029766
88,PAC,"PACORP, LDA",1,0.00012941633234114146,0.9997411673353177
89,SAR,"Superareosa Supermercados, Lda",1,0.00012941633234114146,0.9998705836676589
90,ZND,"Grupo Easycharger, SL",1,0.00012941633234114146,1.0
91,DOU,"Douromobe  - Comercializadora de Energia, S.A.",0,0.0,1.0
92,KLC,Atlante Infra Portugal,0,0.0,1.0
