Rank,Operator,OperatorName,Qty,MarketShare,CumulativeMarketShare
79,EVA,"EVAZ Energy, LDA",1,0.00014511681903932666,0.9988390654476854
80,FRI,"Distrifrio Supermercados, Lda",1,0.00014511681903932666,0.9989841822667247
81,IVP,Intervilapraia,1,0.00014511681903932666,0.9991292990857641
82,JHO,JH Ornelas,1,0.00014511681903932666,0.9992744159048034
83,MEO,"MEO Energia - Comercialização de Energia, SA",1,0.00014511681903932666,0.9994195327238427
84,PAC,"PACORP, LDA",1,0.00014511681903932666,0.999564649542882
85,PTE,"PETROTERMICA ENERGIA, S.A.",1,0.00014511681903932666,0.9997097663619213
86,SAR,"Superareosa Supermercados, Lda",1,0.00014511681903932666,0.9998548831809607
87,ZND,"Grupo Easycharger, SL",1,0.00014511681903932666,1.0
88,KLC,Atlante Infra Portugal,0,0.0,1.0
