LOCATION_UID;CONNECTOR_ID;VALID_FROM;COMPONENT_TYPE;PRICE;MIN_DURATION;MAX_DURATION;MIN_KWH;MAX_KWH;START_HOUR;END_HOUR
LLE-00128;1;2022-12-23;FLAT;0,2964;;;;;;
LLE-00128;1;2022-12-23;TIME;0,035;0;;;;;
LLE-00129;1;2022-12-23;FLAT;0,2964;;;;;;
LLE-00129;1;2022-12-23;TIME;0,035;0;;;;;
LLE-00130;1;2022-12-23;FLAT;0,2964;;;;;;
LLE-00130;1;2022-12-23;TIME;0,035;0;;;;;
LLE-90001;1;2021-12-27;TIME;0,02;0;;;;;
LLE-90001;2;2021-12-27;TIME;0,02;0;;;;;
LLE-90023;1;2021-07-20;TIME;0,025;0;;;;;
LLE-90023;2;2021-07-20;TIME;0,025;0;;;;;
LMG-00001;1;2020-07-01;TIME;0;0;;;;;
LMG-00001;2;2020-07-01;TIME;0;0;;;;;
LMG-00002;1;2022-01-14;FLAT;0,3;;;;;;
LMG-00002;1;2022-01-14;TIME;0,03;0;;;;;
LMG-00002;2;2022-01-14;FLAT;0,3;;;;;;
LMG-00002;2;2022-01-14;TIME;0,03;0;;;;;
LMG-00003;1;2022-01-14;FLAT;0,3;;;;;;
LMG-00003;1;2022-01-14;TIME;0,03;0;;;;;
LMG-00003;2;2022-01-14;FLAT;0,3;;;;;;
LMG-00003;2;2022-01-14;TIME;0,03;0;;;;;
LMG-00005;1;2022-02-23;ENERGY;0,06;;;0;;;
LMG-00005;1;2022-02-23;FLAT;0,297;;;;;;
LMG-00005;1;2022-02-23;TIME;0,01;0;;;;;
LMG-00006;1;2022-02-23;ENERGY;0,06;;;0;;;
LMG-00006;1;2022-02-23;FLAT;0,297;;;;;;
LMG-00006;1;2022-02-23;TIME;0,01;0;;;;;
LMG-00007;1;2022-01-14;FLAT;0,3;;;;;;
LMG-00007;1;2022-01-14;TIME;0,035;0;;;;;
LMG-00007;2;2022-01-14;FLAT;0,3;;;;;;
LMG-00007;2;2022-01-14;TIME;0,035;0;;;;;
LMG-00008;1;2022-01-14;FLAT;0,3;;;;;;
